Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
dr-martens,MERGE,Dr. Martens,<p>Discover the Dr. Martens collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Dr. Martens
barbour,MERGE,Barbour,<p>Discover the Barbour collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Barbour
ralph-lauren,MERGE,Ralph Lauren,<p>Discover the Ralph Lauren collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Ralph Lauren
gc,MERGE,GC,<p>Discover the GC collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,GC
david-beckham,MERGE,David Beckham,<p>Discover the David Beckham collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,David Beckham
max-co,MERGE,Max & Co,<p>Discover the Max & Co collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Max & Co
rhude,MERGE,Rhude,<p>Discover the Rhude collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Rhude
lyle-scott,MERGE,Lyle & Scott,<p>Discover the Lyle & Scott collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Lyle & Scott
ice,MERGE,ICE,<p>Discover the ICE collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,ICE
ellesse,MERGE,Ellesse,<p>Discover the Ellesse collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Ellesse
mm6,MERGE,MM6,<p>Discover the MM6 collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,MM6
piquadro,MERGE,Piquadro,<p>Discover the Piquadro collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Piquadro
nialaya,MERGE,Nialaya,<p>Discover the Nialaya collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Nialaya
zeiss,MERGE,ZEISS,<p>Discover the ZEISS collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,ZEISS
lanvin,MERGE,Lanvin,<p>Discover the Lanvin collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Lanvin
the-north-face,MERGE,The North Face,<p>Discover the The North Face collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,The North Face
mcm,MERGE,MCM,<p>Discover the MCM collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,MCM
isabel-marant,MERGE,Isabel Marant,<p>Discover the Isabel Marant collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Isabel Marant
carolina-herrera,MERGE,Carolina Herrera,<p>Discover the Carolina Herrera collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Carolina Herrera
pink-memories,MERGE,PINK MEMORIES,<p>Discover the PINK MEMORIES collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,PINK MEMORIES
veja,MERGE,Veja,<p>Discover the Veja collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Veja
eleventy,MERGE,Eleventy,<p>Discover the Eleventy collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Eleventy
vuarnet,MERGE,Vuarnet,<p>Discover the Vuarnet collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Vuarnet
marine-serre,MERGE,Marine Serre,<p>Discover the Marine Serre collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Marine Serre
forte-forte,MERGE,Forte_Forte,<p>Discover the Forte_Forte collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Forte_Forte
arnette,MERGE,Arnette,<p>Discover the Arnette collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Arnette
folli-follie,MERGE,Folli Follie,<p>Discover the Folli Follie collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Folli Follie
invicta,MERGE,Invicta,<p>Discover the Invicta collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Invicta
icon,MERGE,Icon,<p>Discover the Icon collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Icon
lumberjack,MERGE,Lumberjack,<p>Discover the Lumberjack collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Lumberjack
gianni-lupo,MERGE,Gianni Lupo,<p>Discover the Gianni Lupo collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Gianni Lupo
justina,MERGE,JUSTINA,<p>Discover the JUSTINA collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,JUSTINA
stone-island,MERGE,Stone Island,<p>Discover the Stone Island collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Stone Island
vero-moda,MERGE,Vero Moda,<p>Discover the Vero Moda collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Vero Moda
sandro,MERGE,Sandro,<p>Discover the Sandro collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Sandro
birkenstock,MERGE,Birkenstock,<p>Discover the Birkenstock collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Birkenstock
gran-sasso,MERGE,Gran Sasso,<p>Discover the Gran Sasso collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Gran Sasso
ugg,MERGE,UGG,<p>Discover the UGG collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,UGG
